"Days to Declaration","Year","Storm"
5,1998,"Hurricane Georges (AL, 1998, 5 days)"
1,1998,"Hurricane Earl (FL, 1998, 1 days)"
3,1998,"Hurricane Georges (FL, 1998, 3 days)"
14,1998,"Hurricane Georges (LA, 1998, 14 days)"
6,1998,"Hurricane Georges (MS, 1998, 6 days)"
7,1998,"Hurricane Bonnie (NC, 1998, 7 days)"
4,1998,"Hurricane Georges (PR, 1998, 4 days)"
10,1998,"Hurricane Bonnie (SC, 1998, 10 days)"
10,1998,"Hurricane Bonnie (VA, 1998, 10 days)"
5,1998,"Hurricane Georges (VI, 1998, 5 days)"
7,1999,"Hurricane Floyd (CT, 1999, 7 days)"
6,1999,"Hurricane Floyd (DE, 1999, 6 days)"
9,1999,"Hurricane Floyd (FL, 1999, 9 days)"
6,1999,"Hurricane Irene (FL, 1999, 6 days)"
8,1999,"Hurricane Floyd (MD, 1999, 8 days)"
63,1999,"Hurricane Floyd (ME, 1999, 63 days)"
11,1999,"Hurricane Dennis (NC, 1999, 11 days)"
1,1999,"Hurricane Floyd (NC, 1999, 1 days)"
32,1999,"Tropical Storm Floyd (NH, 1999, 32 days)"
2,1999,"Hurricane Floyd (NJ, 1999, 2 days)"
3,1999,"Hurricane Floyd (NY, 1999, 3 days)"
2,1999,"Hurricane Floyd (PA, 1999, 2 days)"
7,1999,"Hurricane Floyd (SC, 1999, 7 days)"
1,1999,"Hurricane Bret (TX, 1999, 1 days)"
10,1999,"Tropical Storm Dennis (VA, 1999, 10 days)"
5,1999,"Hurricane Floyd (VA, 1999, 5 days)"
6,1999,"Hurricane Lenny (VI, 1999, 6 days)"
16,2002,"Tropical Storm Isidore (AL, 2002, 16 days)"
6,2002,"Tropical Storm Isidore (LA, 2002, 6 days)"
2,2002,"Hurricane Lili (LA, 2002, 2 days)"
8,2002,"Tropical Storm Isidore (MS, 2002, 8 days)"
2,2003,"Hurricane Isabel (DC, 2003, 2 days)"
2,2003,"Hurricane Isabel (DE, 2003, 2 days)"
8,2003,"Tropical Storm Henri (DE, 2003, 8 days)"
1,2003,"Hurricane Isabel (MD, 2003, 1 days)"
0,2003,"Hurricane Isabel (NC, 2003, 0 days)"
2,2003,"Hurricane Claudette (TX, 2003, 2 days)"
0,2003,"Hurricane Isabel (VA, 2003, 0 days)"
5,2003,"Hurricane Isabel (WV, 2003, 5 days)"
2,2004,"Hurricane Ivan (AL, 2004, 2 days)"
2,2004,"Tropical Storm Bonnie (FL, 2004, 2 days)"
1,2004,"Hurricane Frances (FL, 2004, 1 days)"
3,2004,"Hurricane Ivan (FL, 2004, 3 days)"
2,2004,"Hurricane Jeanne (FL, 2004, 2 days)"
21,2004,"Tropical Storm Frances (GA, 2004, 21 days)"
4,2004,"Hurricane Ivan (GA, 2004, 4 days)"
2,2004,"Hurricane Ivan (LA, 2004, 2 days)"
2,2004,"Hurricane Ivan (MS, 2004, 2 days)"
3,2004,"Tropical Storm Frances (NC, 2004, 3 days)"
2,2004,"Hurricane Ivan (NC, 2004, 2 days)"
18,2004,"Hurricane Charley (SC, 2004, 18 days)"
31,2004,"Tropical Storm Frances (SC, 2004, 31 days)"
23,2004,"Tropical Storm Jeanne (VI, 2004, 23 days)"
0,2005,"Hurricane Dennis (AL, 2005, 0 days)"
0,2005,"Hurricane Katrina (AL, 2005, 0 days)"
3,2005,"Hurricane Dennis (FL, 2005, 3 days)"
4,2005,"Hurricane Katrina (FL, 2005, 4 days)"
1,2005,"Hurricane Wilma (FL, 2005, 1 days)"
0,2005,"Hurricane Katrina (LA, 2005, 0 days)"
1,2005,"Hurricane Rita (LA, 2005, 1 days)"
0,2005,"Hurricane Dennis (MS, 2005, 0 days)"
0,2005,"Hurricane Katrina (MS, 2005, 0 days)"
26,2005,"Hurricane Ophelia (NC, 2005, 26 days)"
1,2005,"Hurricane Rita (TX, 2005, 1 days)"
12,2008,"Hurricane Gustav (AL, 2008, 12 days)"
16,2008,"Hurricane Gustav (AR, 2008, 16 days)"
57,2008,"Hurricane Gustav (FL, 2008, 57 days)"
2,2008,"Hurricane Ike (LA, 2008, 2 days)"
1,2008,"Hurricane Gustav (LA, 2008, 1 days)"
25,2008,"Hurricane Gustav (MS, 2008, 25 days)"
2,2008,"Hurricane Dolly (TX, 2008, 2 days)"
6,2008,"Hurricane Ike (TX, 2008, 6 days)"
15,2008,"Hurricane Omar (VI, 2008, 15 days)"
43,2009,"Tropical Storm Ida (AL, 2009, 43 days)"
34,2010,"Hurricane Alex (TX, 2010, 34 days)"
30,2010,"Hurricane Earl (VI, 2010, 30 days)"
6,2011,"Tropical Storm Irene (CT, 2011, 6 days)"
33,2011,"Hurricane Irene (DC, 2011, 33 days)"
36,2011,"Hurricane Irene (DE, 2011, 36 days)"
7,2011,"Tropical Storm Irene (MA, 2011, 7 days)"
23,2011,"Hurricane Irene (MD, 2011, 23 days)"
17,2011,"Tropical Storm Irene (ME, 2011, 17 days)"
6,2011,"Hurricane Irene (NC, 2011, 6 days)"
8,2011,"Tropical Storm Irene (NH, 2011, 8 days)"
4,2011,"Hurricane Irene (NJ, 2011, 4 days)"
5,2011,"Hurricane Irene (NY, 2011, 5 days)"
8,2011,"Hurricane Irene (PA, 2011, 8 days)"
6,2011,"Hurricane Irene (PR, 2011, 6 days)"
40,2011,"Tropical Storm Maria (PR, 2011, 40 days)"
7,2011,"Tropical Storm Irene (RI, 2011, 7 days)"
8,2011,"Hurricane Irene (VA, 2011, 8 days)"
5,2011,"Tropical Storm Irene (VT, 2011, 5 days)"
26,2012,"Hurricane Isaac (AL, 2012, 26 days)"
3,2012,"Hurricane Sandy (CT, 2012, 3 days)"
40,2012,"Hurricane Sandy (DC, 2012, 40 days)"
20,2012,"Hurricane Sandy (DE, 2012, 20 days)"
52,2012,"Hurricane Isaac (FL, 2012, 52 days)"
3,2012,"Hurricane Isaac (LA, 2012, 3 days)"
53,2012,"Hurricane Sandy (MA, 2012, 53 days)"
25,2012,"Hurricane Sandy (MD, 2012, 25 days)"
3,2012,"Hurricane Isaac (MS, 2012, 3 days)"
33,2012,"Hurricane Sandy (NH, 2012, 33 days)"
4,2012,"Hurricane Sandy (NJ, 2012, 4 days)"
3,2012,"Hurricane Sandy (NY, 2012, 3 days)"
66,2012,"Hurricane Sandy (OH, 2012, 66 days)"
76,2012,"Hurricane Sandy (PA, 2012, 76 days)"
8,2012,"Hurricane Sandy (RI, 2012, 8 days)"
31,2012,"Hurricane Sandy (VA, 2012, 31 days)"
29,2012,"Hurricane Sandy (WV, 2012, 29 days)"
28,2016,"Hurricane Hermine (FL, 2016, 28 days)"
5,2016,"Hurricane Matthew (FL, 2016, 5 days)"
4,2016,"Hurricane Matthew (GA, 2016, 4 days)"
6,2016,"Hurricane Matthew (NC, 2016, 6 days)"
7,2016,"Hurricane Matthew (SC, 2016, 7 days)"
26,2016,"Hurricane Matthew (VA, 2016, 26 days)"
41,2017,"Hurricane Nate (AL, 2017, 41 days)"
6,2017,"Hurricane Irma (FL, 2017, 6 days)"
8,2017,"Hurricane Irma (GA, 2017, 8 days)"
49,2017,"Tropical Storm Harvey (LA, 2017, 49 days)"
47,2017,"Hurricane Nate (MS, 2017, 47 days)"
5,2017,"Hurricane Irma (PR, 2017, 5 days)"
3,2017,"Hurricane Maria (PR, 2017, 3 days)"
40,2017,"Hurricane Irma (SC, 2017, 40 days)"
2,2017,"Hurricane Harvey (TX, 2017, 2 days)"
2,2017,"Hurricane Irma (VI, 2017, 2 days)"
4,2017,"Hurricane Maria (VI, 2017, 4 days)"
26,2018,"Hurricane Michael (AL, 2018, 26 days)"
23,2018,"Tropical Storm Gita (AS, 2018, 23 days)"
4,2018,"Hurricane Michael (FL, 2018, 4 days)"
5,2018,"Hurricane Michael (GA, 2018, 5 days)"
36,2018,"Hurricane Lane (HI, 2018, 36 days)"
7,2018,"Hurricane Florence (NC, 2018, 7 days)"
113,2018,"Tropical Storm Michael (NC, 2018, 113 days)"
8,2018,"Hurricane Florence (SC, 2018, 8 days)"
37,2018,"Hurricane Florence (VA, 2018, 37 days)"
70,2018,"Tropical Storm Michael (VA, 2018, 70 days)"
54,2019,"Hurricane Dorian (FL, 2019, 54 days)"
48,2019,"Hurricane Barry (LA, 2019, 48 days)"
33,2019,"Hurricane Dorian (NC, 2019, 33 days)"
30,2019,"Hurricane Dorian (SC, 2019, 30 days)"
6,2020,"Hurricane Sally (AL, 2020, 6 days)"
43,2020,"Hurricane Zeta (AL, 2020, 43 days)"
161,2020,"Tropical Storm Isaias (CT, 2020, 161 days)"
59,2020,"Tropical Storm Isaias (DE, 2020, 59 days)"
9,2020,"Hurricane Sally (FL, 2020, 9 days)"
75,2020,"Tropical Storm Zeta (GA, 2020, 75 days)"
6,2020,"Hurricane Laura (LA, 2020, 6 days)"
10,2020,"Hurricane Delta (LA, 2020, 10 days)"
78,2020,"Hurricane Zeta (LA, 2020, 78 days)"
185,2020,"Tropical Storm Isaias (MD, 2020, 185 days)"
64,2020,"Hurricane Zeta (MS, 2020, 64 days)"
75,2020,"Hurricane Isaias (NC, 2020, 75 days)"
129,2020,"Tropical Storm Isaias (NJ, 2020, 129 days)"
59,2020,"Tropical Storm Isaias (NY, 2020, 59 days)"
42,2020,"Hurricane Isaias (PR, 2020, 42 days)"
108,2020,"Hurricane Laura (TX, 2020, 108 days)"
59,2021,"Hurricane Ida (CT, 2021, 59 days)"
53,2021,"Hurricane Ida (DE, 2021, 53 days)"
3,2021,"Hurricane Ida (LA, 2021, 3 days)"
55,2021,"Hurricane Ida (MS, 2021, 55 days)"
23,2021,"Tropical Storm Fred (NC, 2021, 23 days)"
4,2021,"Hurricane Ida (NJ, 2021, 4 days)"
51,2021,"Tropical Storm Fred (NY, 2021, 51 days)"
4,2021,"Hurricane Ida (NY, 2021, 4 days)"
10,2021,"Hurricane Ida (PA, 2021, 10 days)"
6,2022,"Hurricane Ian (FL, 2022, 6 days)"
36,2022,"Hurricane Nicole (FL, 2022, 36 days)"
4,2022,"Hurricane Fiona (PR, 2022, 4 days)"
57,2022,"Hurricane Ian (SC, 2022, 57 days)"
39,2023,"Tropical Storm Hilary (CA, 2023, 39 days)"
4,2023,"Hurricane Idalia (FL, 2023, 4 days)"
8,2023,"Hurricane Idalia (GA, 2023, 8 days)"
9,2024,"Hurricane Debby (FL, 2024, 9 days)"
5,2024,"Hurricane Helene (FL, 2024, 5 days)"
6,2024,"Hurricane Milton (FL, 2024, 6 days)"
51,2024,"Tropical Storm Debby (GA, 2024, 51 days)"
6,2024,"Hurricane Helene (GA, 2024, 6 days)"
60,2024,"Hurricane Helene (KY, 2024, 60 days)"
7,2024,"Hurricane Francine (LA, 2024, 7 days)"
3,2024,"Tropical Storm Helene (NC, 2024, 3 days)"
33,2024,"Tropical Storm Debby (PA, 2024, 33 days)"
106,2024,"Tropical Storm Ernesto (PR, 2024, 106 days)"
56,2024,"Tropical Storm Debby (SC, 2024, 56 days)"
4,2024,"Hurricane Helene (SC, 2024, 4 days)"
6,2024,"Tropical Storm Helene (TN, 2024, 6 days)"
4,2024,"Hurricane Beryl (TX, 2024, 4 days)"
6,2024,"Tropical Storm Helene (VA, 2024, 6 days)"
73,2024,"Tropical Storm Ernesto (VI, 2024, 73 days)"
75,2024,"Tropical Storm Helene (WV, 2024, 75 days)"
